District,District Code,Facility Code,Reg No.,DHIS2 CODE,Facility Name,Facility Type,Facility Ownership,Facility Location,Catchment Population (2018),LATITUDE,LONGITUDE,,,,,,,
Chitipa,CP,123,,0,Therere,Health Post,Government/public,Rural,,-10.417667,33.663209,,,,,,,
Chitipa,CP,124,,0,Mchina,Health Post,Government/public,Rural,,-10.309487,33.711544,,,,,,,
Chitipa,CP,125,,0,Kopakopa,Health Post,Government/public,Rural,,-10.138347,33.702798,,,,,,,
Chitipa,CP,126,,126,Mahowe,Health Post,Government/public,Rural,,-10.183192,33.690349,,,,,,,
Chitipa,CP,127,,0,Karopa,Health Post,Government/public,Rural,,-10.216613,33.650444,,,,,,,
Chitipa,CP,128,,0,Kavukuku,Health Post,Government/public,Rural,,-10.275083,33.571761,,,,,,,
Chitipa,CP,129,,0,Nachipangapanga,Health Post,Government/public,Rural,,-9.872516,33.381377,,,,,,,
Chitipa,CP,130,,0,Chendo,Health Post,Government/public,Rural,,-9.882464,33.410688,,,,,,,
Chitipa,CP,131,,0,Chisenga,Health Post,Government/public,Rural,,-9.974946,33.389664,,,,,,,
Chitipa,CP,132,,0,Mlembe,Health Post,Government/public,Rural,,-10.061782,33.377912,,,,,,,
Chitipa,CP,133,,0,Naching'Anda,Health Post,Government/public,Rural,,-9.684917,33.418491,,,,,,,
Chitipa,CP,134,,0,Kanyenjere,Health Post,Government/public,Rural,,-9.762793,33.417264,,,,,,,
Chitipa,CP,135,,0,Lufita,Health Post,Government/public,Rural,,-9.713421,33.356036,,,,,,,
Chitipa,CP,136,,0,Chinsasu,Health Post,Government/public,Rural,,,,,,,,,,
Chitipa,CP,137,MCM/C/365,-1,Misuku Cooperative Community Hospital,Rural/Community Hospital,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Karonga,KA,206,,206,Karonga District Hospital,District Hospital,Government/public,Urban,,-9.95545,33.91113,,,,,,,
Karonga,KA,216,MCM/CHAM/RH/66,216,Atupele Community Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-9.73682,33.83744,,,,,,,
Karonga,KA,219,,219,"Care Private Clinic, Mphenzi,",Dispensary,Private for profit,Urban,,-9.93942,33.92297,,,,,,,
Karonga,KA,201,MCM/MOH/RH/03,201,Chilumba Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-10.43199,34.25193,,,,,,,
Karonga,KA,220,,0,"Chiza Private Clinic, Dube, Wy",Dispensary,Private for profit,Rural,,-10.45534,34.20951,,,,,,,
Karonga,KA,202,MCM/MOH/HC/46,202,Fulirwa Health Centre,Health Centre,Government/public,Rural,,-10.44772,34.11211,,,,,,,
Karonga,KA,203,MCM/MOH/HC/41,203,Hara Health Centre,Dispensary,Government/public,Rural,,-10.48876,34.16939,,,,,,,
Karonga,KA,204,MCM/MOH/HC/48,204,Iponga Health Centre,Health Centre,Government/public,Rural,,-9.64605,33.81253,,,,,,,
Karonga,KA,205,MCM/MOH/RH/02,205,Kaporo Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-9.76756,33.87466,,,,,,,
Karonga,KA,215,MCM/C/067,215,Karonga BLM,Dispensary,NGO,Urban,,-9.94027,33.92436,,,,,,,
Karonga,KA,217,,217,Kasoba Health Centre,Health Centre,Government/public,Rural,,-9.87355,33.86972,,,,,,,
Karonga,KA,221,,0,"Kwambukwa Private Clinic, Mbuk",Dispensary,Private for profit,Urban,,-9.94049,33.92423,,,,,,,
Karonga,KA,207,,207,Lupembe Health Centre,Health Centre,Government/public,Rural,,-10.06628,33.98778,,,,,,,
Karonga,KA,208,,208,Lwezga Health Centre,Health Centre,Government/public,Rural,,-10.56692,34.17943,,,,,,,
Karonga,KA,222,,0,"Maneno Private Clinic, Mhone,",Dispensary,Private for profit,Urban,,-9.94014,33.92436,,,,,,,
Karonga,KA,218,,-1,Mlare Health Centre,Health Centre,Government/public,Rural,,-10.173,34.03591,,,,,,,
Karonga,KA,209,MCM/MOH/HC/45,209,Mpata Health Centre,Health Centre,Government/public,Rural,,-9.96062,33.81525,,,,,,,
Karonga,KA,210,MCM/MOH/HC/44,210,Ngana Health Centre,Health Centre,Government/public,Rural,,-9.62021,33.69891,,,,,,,
Karonga,KA,211,MCM/MOH/HC/47,211,Nyungwe Health Centre,Health Centre,Government/public,Rural,,-10.28546,34.10851,,,,,,,
Karonga,KA,212,MCM/CHAM/HC/13,0,Sangiro Health centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.51609,34.21346,,,,,,,
Karonga,KA,213,MCM/CHAM/HC/65,213,St. Anne's Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.41184,34.21188,,,,,,,
Karonga,KA,223,,0,Timunyazge Clinic,Dispensary,Private for profit,Rural,,-10.21191,34.08743,,,,,,,
Karonga,KA,214,MCM/MOH/HC/42,214,Wiliro Health Centre,Health Centre,Government/public,Rural,,-9.89312,33.61404,,,,,,,
Karonga,KA,224,,224,Chilumba Barracks,Health Centre,Government/public,Rural,,-10.39021,34.20897,,,,,,,
Karonga,KA,225,MCM/C/31,0,Wovwe Escom Clinic,Dispensary,Company,Rural,,-10.44389,34.08461,,,,,,,
Karonga,KA,226,,0,Old Hospital,Health Post,Government/public,Rural,,-9.932075,33.940017,,,,,,,
Karonga,KA,227,,0,Tilola,Health Post,Government/public,Rural,,-10.329445,34.175349,,,,,,,
Karonga,KA,228,,0,Chihepusha,Health Post,Government/public,Rural,,-10.332331,34.110642,,,,,,,
Karonga,KA,229,,0,Ngara,Health Post,Government/public,Rural,,-10.225176,34.10207,,,,,,,
Karonga,KA,230,,0,Kayelekela,Health Post,Government/public,Rural,,-9.970284,33.688526,,,,,,,
Karonga,KA,231,,0,Vilaule,Health Post,Government/public,Rural,,-9.944731,33.773907,,,,,,,
Karonga,KA,232,,0,Silu,Health Post,Government/public,Rural,,-9.938145,33.823415,,,,,,,
Karonga,KA,233,,0,Lupaso,Health Post,Government/public,Rural,,-9.930017,33.853121,,,,,,,
Karonga,KA,234,,0,Malungo,Health Post,Government/public,Rural,,-9.886358,33.905859,,,,,,,
Karonga,KA,235,,0,Ngisi,Health Post,Government/public,Rural,,-9.594431,33.723042,,,,,,,
Karonga,KA,236,,0,Uliwa,Health Post,Government/public,Rural,,-10.454047,34.207592,,,,,,,
Karonga,KA,237,,0,Gonthaminga,Health Post,Government/public,Rural,,-10.402957,34.134781,,,,,,,
Karonga,KA,238,,0,Chikutu,Health Post,Government/public,Rural,,-9.774048,33.734621,,,,,,,
Karonga,KA,231,,0,Katiri Health Center,Health Centre,Government/public,Rural,,,,,,,,,,
Karonga,KA,232,,0,Lughano Private Clinic,Dispensary,Private for profit,Urban,,,,,,,,,,
Karonga,KA,233,,0,Wakisa Private Clinic,Dispensary,Private for profit,Urban,,,,,,,,,,
Karonga,KA,234,MCM/C/202,0,MACRO Karonga Centre,Dispensary,Private for profit,Urban,,,,,,,,,,
Karonga,KA,235,MCM/C/393,0,Umoyo uweme Clinic,Dispensary,Private for profit,Urban,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nkhata Bay,NB,315,MCM/MOH/DH/02,315,Nkhata Bay District Hospital,District Hospital,Government/public,Urban,,-11.60159,34.29872,,,,,,,
Nkhata Bay,NB,305,MCM/MOH/RH/01,305,Chintcheche Rural Hospital,Rural/Community Hospital,Government/public,Urban,,-11.82719,34.16836,,,,,,,
Nkhata Bay,NB,301,MCM/MOH/HC/05,301,Bula Health Centre,Health Centre,Government/public,Rural,,-11.22268,34.12324,,,,,,,
Nkhata Bay,NB,302,MCM/MOH/HC/07,302,Chesamu Health Centre,Health Centre,Government/public,Rural,,-11.85422,34.01836,,,,,,,
Nkhata Bay,NB,303,MCM/MOH/HC/06,303,Chikwina Health Centre,Health Centre,Government/public,Rural,,-11.39694,34.16973,,,,,,,
Nkhata Bay,NB,321,,321,Chisala Health Centre,Health Centre,Government/public,Rural,,-11.57458,34.12201,,,,,,,
Nkhata Bay,NB,306,MCM/MOH/HC/04,306,Chitheka Health Centre,Health Centre,Government/public,Rural,,-11.70191,33.95147,,,,,,,
Nkhata Bay,NB,308,MCM/MOH/HC/11,308,Kachere Health Centre,Health Centre,Government/public,Rural,,-12.00327,34.04961,,,,,,,
Nkhata Bay,NB,309,MCM/MOH/HC/15,309,Kande Health Centre,Health Centre,Government/public,Rural,,-11.93641,34.10944,,,,,,,
Nkhata Bay,NB,311,MCM/MOH/HC/10,311,Liuzi Health Centre,Health Centre,Government/public,Rural,,-12.18971,34.01572,,,,,,,
Nkhata Bay,NB,324,MCM/MOH/HC/13,324,Maula Health Centre,Health Centre,Government/public,Rural,,-11.73518,34.23514,,,,,,,
Nkhata Bay,NB,313,MCM/MOH/HC/12,313,Mpamba Health Centre,Health Centre,Government/public,Rural,,-11.54697,34.19727,,,,,,,
Nkhata Bay,NB,314,MCM/MOH/HC/09,314,Mzenga Health Centre,Health Centre,Government/public,Rural,,-11.73249,34.07401,,,,,,,
Nkhata Bay,NB,319,MCM/MOH/HC/14,319,Usisya Health Centre,Health Centre,Government/public,Rural,,-11.2394,34.20941,,,,,,,
Nkhata Bay,NB,310,,310,Khondowe,Health Centre,Government/public,Rural,,-11.07281,34.21939,,,,,,,
Nkhata Bay,NB,317,,317,Ruarwe Dispensary,Dispensary,Government/public,Rural,,-11.11377,34.23093,,,,,,,
Nkhata Bay,NB,320,,320,Nthungwa Health Centre,Health Centre,Government/public,Rural,,-11.66014,33.80046,,,,,,,
Nkhata Bay,NB,312,MCM/CHAM/HC/77,312,Lwazi Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-11.51864,34.15115,,,,,,,
Nkhata Bay,NB,304,MCM/CHAM/HC/59,304,Chilambwe Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-11.69114,34.31617,,,,,,,
Nkhata Bay,NB,325,MCM/C/151,325,Vizara Dispensary,Dispensary,Private for profit,Rural,,-11.66656,34.26115,,,,,,,
Nkhata Bay,NB,326,,0,Cumnock Private Clinic,Dispensary,Private for profit,Rural,,-11.52705,34.08482,,,,,,,
Nkhata Bay,NB,327,,327,Nkhata Bay Private Clinic,Dispensary,Private for profit,Urban,,-11.60663,34.29549,,,,,,,
Nkhata Bay,NB,328,,0,Raha Private Clinic,Dispensary,Private for profit,Urban,,-11.61228,34.26874,,,,,,,
Nkhata Bay,NB,322,MCM/C/086,322,Banja La Mstogolo (BLM) Nkhata,Dispensary,NGO,Urban,,-11.60907,34.29899,,,,,,,
Nkhata Bay,NB,329,MCM/C/266,329,Mwaya Clinic,Dispensary,Government/public,Rural,,-11.97658,34.07603,,,,,,,
Nkhata Bay,NB,323,,323,Kavuzi Clinic,Dispensary,Company,Rural,,-11.67441,34.08166,,,,,,,
Nkhata Bay,NB,330,,330,Kawalazi Estate Clinic,Dispensary,Company,Rural,,-11.64406,34.10983,,,,,,,
Nkhata Bay,NB,331,,0,Thoto Dispensary,Dispensary,Government/public,Rural,,-11.45315,34.27732,,,,,,,
Nkhata Bay,NB,332,MCM/C/236,0,Chombe Estate Dispensary,Dispensary,Company,Rural,,-11.64771,34.21214,,,,,,,
Nkhata Bay,NB,333,,333,Tukombo,Health Post,Government/public,Rural,,-12.083223,34.054283,,,,,,,
Nkhata Bay,NB,334,MCM/MOH/HC/03,0,Chizumulu,Health Centre,Government/public,Rural,,,,,,,,,,
Nkhata Bay,NB,334,MCM/MOH/HC/02,324,Old Maula Health Center,Health Centre,Government/public,Rural,,,,,,,,,,
Nkhata Bay,NB,335,MCM/MOH/HC/01,0,Phirisingo Health Center,Health Centre,Government/public,Rural,,,,,,,,,,
Nkhata Bay,NB,336,MCM/C/287,0,Vision Bible Training & Accom. Centre Pvt Clinic,Dispensary,NGO,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Rumphi,RU,417,MCM/MOH/DH/18,417,Rumphi District Hospital,District Hospital,Government/public,Urban,,-11.01993,33.85422,,,,,,,
Rumphi,RU,419,MCM/CHAM/RH/56,419,Tcharo Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.96193,34.22225,,,,,,,
Rumphi,RU,401,MCM/MOH/RH/07,401,Bolero Rural Hospital,Rural/Community Hospital,Government/public,Urban,,-10.97843,33.74342,,,,,,,
Rumphi,RU,408,,408,Katowo Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-10.81278,33.52222,,,,,,,
Rumphi,RU,411,MCM/MOH/RH/06,411,Mhuju Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-10.86685,33.99765,,,,,,,
Rumphi,RU,403,,403,Chitimba Health Centre,Health Centre,Government/public,Rural,,-10.59808,34.17026,,,,,,,
Rumphi,RU,421,,0,Chisimuka Health Centre,Health Centre,Government/public,Rural,,-10.76924,33.55751,,,,,,,
Rumphi,RU,422,,422,Jalawe Health Centre,Health Centre,Government/public,Rural,,-10.73052,34.16172,,,,,,,
Rumphi,RU,423,,423,Lura Health Centre,Health Centre,Government/public,Rural,,-10.72638,34.04408,,,,,,,
Rumphi,RU,413,MCM/MOH/HC/54,413,Mphompha Health Centre,Health Centre,Government/public,Rural,,-11.00662,34.07305,,,,,,,
Rumphi,RU,414,MCM/MOH/HC/55,414,Mwazisi Health Centre,Health Centre,Government/public,Rural,,-10.94356,33.5792,,,,,,,
Rumphi,RU,415,,415,Mzokoto Health Centre,Health Centre,Government/public,Rural,,-10.90777,34.02735,,,,,,,
Rumphi,RU,424,,424,Ng'onga Health Centre,Dispensary,Government/public,Rural,,-10.93922,33.94348,,,,,,,
Rumphi,RU,426,,0,Chilinda,Health Post,Government/public,Rural,,-10.59101,33.80605,,,,,,,
Rumphi,RU,427,MCM/CHAM/HC/57,0,Zunga Health Post,Health Post,Christian Health Association of Malawi (CHAM),Rural,,-10.84628,34.21231,,,,,,,
Rumphi,RU,404,,404,Livingstonia Mission Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-10.60467,34.1109,,,,,,,
Rumphi,RU,409,MCM/CHAM/RH/54,409,Luwuchi Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.68353,34.19353,,,,,,,
Rumphi,RU,412,MCM/CHAM/RH/55,412,Mlowe Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.76429,34.19488,,,,,,,
Rumphi,RU,416,MCM/CHAM/HC/14,416,Nthenje Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-10.91788,33.98786,,,,,,,
Rumphi,RU,428,MCM/CHAM/RH/36,428,St. Patricks Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Urban,,-11.02297,33.87319,,,,,,,
Rumphi,RU,429,MCM/C/114,429,Eva Demaya Private Clinic,Dispensary,Private for profit,Rural,,-10.96002,33.64862,,,,,,,
Rumphi,RU,430,,0,Kasambala Private Clinic,Dispensary,Private for profit,Rural,,-10.77593,34.03908,,,,,,,
Rumphi,RU,431,,0,"Twisile Private Clinic, Nyondo",Dispensary,Private for profit,Rural,,-10.9776,33.74598,,,,,,,
Rumphi,RU,432,,0,Wongani Private Clinic,Dispensary,Private for profit,Urban,,-11.02379,33.85419,,,,,,,
Rumphi,RU,435,MCM/C/218,0,Phwezi Private Clinic,Dispensary,NGO,Rural,,-10.88762,34.04446,,,,,,,
Rumphi,RU,425,MCM/C/084,425,Rumphi BLM,Dispensary,NGO,Urban,,-11.02279,33.85523,,,,,,,
Rumphi,RU,436,,0,Mchenga Clinic,Dispensary,Company,Rural,,-10.69957,34.14036,,,,,,,
Rumphi,RU,437,,0,Phuno,Health Post,Government/public,Rural,,-11.027859,34.074571,,,,,,,
Rumphi,RU,438,,0,Kasonkhwe,Health Post,Government/public,Rural,,-10.733449,34.0789,,,,,,,
Rumphi,RU,439,,0,Nkhomboli,Health Post,Government/public,Rural,,-10.775985,34.039194,,,,,,,
Rumphi,RU,440,,0,Thazima,Health Post,Government/public,Rural,,-10.8298,33.592408,,,,,,,
Rumphi,RU,441,MCM/CHAM/DH/19,441,David Gordon Memorial,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Mzimba,MZ,538,MCM/MOH/CH/04,0,Mzuzu Cental Hospital,Central Hospital,Government/public,Urban,,-11.42792,33.9955,,,,,,,
Mzimba,MZ,532,MCM/MOH/DH/19,441,Mzimba District Hospital,District Hospital,Government/public,Urban,,-11.89805,33.58421,,,,,,,
Mzimba,MZ,509,MCM/MOH/RH/08,509,Euthini Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-11.45836,33.41925,,,,,,,
Mzimba,MZ,515,MCM/CHAM/RH/67,515,Katete Community Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-12.34592,33.61421,,,,,,,
Mzimba,MZ,501,MCM/MOH/HC/25,501,Bulala Health Centre,Health Centre,Government/public,Rural,,-11.6781,33.44798,,,,,,,
Mzimba,MZ,551,MCM/MOH/HC/53,551,Bwengu Health Centre,Health Centre,Government/public,Urban,,-11.06356,33.91646,,,,,,,
Mzimba,MZ,571,,571,Chikangawa Health Centre,Health Centre,Government/public,Rural,,-11.84362,33.78759,,,,,,,
Mzimba,MZ,502,MCM/MOH/HC/39,502,Choma Health Centre,Health Centre,Government/public,Rural,,-11.31318,33.99327,,,,,,,
Mzimba,MZ,503,MCM/MOH/HC32,503,Edingeni Health Centre,Health Centre,Government/public,Rural,,-12.04072,33.31295,,,,,,,
Mzimba,MZ,506,MCM/MOH/HC/23,506,Emfeni Health Centre,Health Centre,Government/public,Rural,,-12.59406,33.60976,,,,,,,
Mzimba,MZ,507,MCM/MOH/HC/22,507,Emsizini Health Centre,Health Centre,Government/public,Rural,,-11.44435,33.82485,,,,,,,
Mzimba,MZ,508,MCM/MOH/HC/16,508,Endindeni Health Centre,Health Centre,Government/public,Rural,,-11.75818,33.5561,,,,,,,
Mzimba,MZ,554,,554,Engucwini Health Centre,Health Centre,Government/public,Rural,,-11.19761,33.82314,,,,,,,
Mzimba,MZ,406,MCM/MOH/HC/52,406,Enukweni Health Centre,Health Centre,Government/public,Rural,,-11.18005,33.88592,,,,,,,
Mzimba,MZ,510,MCM/MOH/HC/34,510,Hoho Health Centre,Health Centre,Government/public,Rural,,-12.27815,33.6864,,,,,,,
Mzimba,MZ,511,MCM/MOH/HC/33,511,Jenda Health Centre,Health Centre,Government/public,Rural,,-12.35206,33.54755,,,,,,,
Mzimba,MZ,517,MCM/MOH/HC/21,517,Kabuwa Health Centre,Health Centre,Government/public,Rural,,-12.51726,34.07395,,,,,,,
Mzimba,MZ,540,MCM/MOH/HC/31,540,Kabwafu Health Centre,Health Centre,Government/public,Rural,,-11.30869,33.52556,,,,,,,
Mzimba,MZ,512,MCM/MOH/HC/24,512,Kafukule Health Centre,Health Centre,Government/public,Rural,,-11.4575,33.63395,,,,,,,
Mzimba,MZ,514,MCM/MOH/HC/26,514,Kamteteka Health Centre,Health Centre,Government/public,Rural,,-11.83649,33.35892,,,,,,,
Mzimba,MZ,557,MCM/MOH/HC/51,557,Kamwe Health Centre,Health Centre,Government/public,Rural,,-11.10265,33.78911,,,,,,,
Mzimba,MZ,516,,516,Khosolo Health Centre,Health Centre,Government/public,Rural,,-12.4402,33.79133,,,,,,,
Mzimba,MZ,572,,572,Nkhuyukuyu Health Centre,Health Centre,Government/public,Rural,,-11.22183,33.91461,,,,,,,
Mzimba,MZ,519,,519,Luvwere Health Centre,Health Centre,Government/public,Rural,,-11.38921,33.6729,,,,,,,
Mzimba,MZ,545,,545,Luwawa Health Centre,Health Centre,Government/public,Rural,,-12.11337,33.71943,,,,,,,
Mzimba,MZ,520,MCM/MOH/HC/35,520,Luwelezi Health Centre,Health Centre,Government/public,Rural,,-12.48825,33.64119,,,,,,,
Mzimba,MZ,560,,560,Luzi Health Centre,Health Centre,Government/public,Rural,,-10.99681,33.95583,,,,,,,
Mzimba,MZ,522,MCM/MOH/HC/29,522,Madede Health Centre,Health Centre,Government/public,Rural,,-11.53894,33.29456,,,,,,,
Mzimba,MZ,523,MCM/MOH/HC/37,523,Malidade Health Centre,Health Centre,Government/public,Rural,,-11.22926,33.49989,,,,,,,
Mzimba,MZ,524,MCM/MOH/HC/28,524,Manyamula Health Centre,Health Centre,Government/public,Rural,,-11.94005,33.43945,,,,,,,
Mzimba,MZ,573,,573,Matuli Health Centre,Health Centre,Government/public,Rural,,-11.48513,33.89613,,,,,,,
Mzimba,MZ,525,MCM/MOH/HC/30,525,Mbalachanda Health Centre,Health Centre,Government/public,Rural,,-11.35738,33.37133,,,,,,,
Mzimba,MZ,541,,541,Mkoma Health Centre,Health Centre,Government/public,Rural,,-12.61235,33.7824,,,,,,,
Mzimba,MZ,526,MCM/MOH/HC/38,526,Mpherembe Health Centre,Health Centre,Government/public,Rural,,-11.28806,33.61431,,,,,,,
Mzimba,MZ,527,MCM/MOH/HC/19,527,Msese Health Centre,Health Centre,Government/public,Rural,,-12.35951,33.74002,,,,,,,
Mzimba,MZ,528,MCM/MOH/HC/27,528,Mtende Health Centre,Health Centre,Government/public,Rural,,-11.49724,33.54894,,,,,,,
Mzimba,MZ,529,MCM/MOH/HC/36,529,Mtwalo Health Centre,Health Centre,Government/public,Rural,,-11.39671,33.74591,,,,,,,
Mzimba,MZ,530,,530,Mzalangwe Health Centre,Health Centre,Government/public,Rural,,-11.61228,33.5651,,,,,,,
Mzimba,MZ,533,MCM/MOH/HC/18,533,Mzuzu Health Centre,Health Centre,Government/public,Urban,,-11.46138,34.01518,,,,,,,
Mzimba,MZ,534,MCM/MOH/HC/17,534,Njuyu Health Centre,Health Centre,Government/public,Rural,,-11.52455,33.69953,,,,,,,
Mzimba,MZ,568,MCM/MOH/HC/50,568,Thunduwike Health Centre,Health Centre,Government/public,Rural,,-11.17665,33.57636,,,,,,,
Mzimba,MZ,549,,549,Ehehieni  Dispensary,Dispensary,Government/public,Rural,,-12.2621,33.58912,,,,,,,
Mzimba,MZ,553,,553,Ekwaiweni Dispensary,Dispensary,Government/public,Rural,,-11.42309,33.89766,,,,,,,
Mzimba,MZ,559,,559,Lusangazi Dispensary,Dispensary,Government/public,Rural,,-11.49979,33.94291,,,,,,,
Mzimba,MZ,543,,543,Vibangalala Dispensary,Dispensary,Government/public,Rural,,-12.23433,33.48619,,,,,,,
Mzimba,MZ,556,MCM/C/30,556,"Escom, Mzuzu",Dispensary,Government/public,Urban,,-11.46287,34.02275,,,,,,,
Mzimba,MZ,566,,6016,Mzuzu Central Prison,Dispensary,Government/public,Urban,,-11.46474,34.01991,,,,,,,
Mzimba,MZ,574,,0,Zolozolo Health Post,Health Post,Government/public,Urban,,-11.4357,34.02394,,,,,,,
Mzimba,MZ,505,MCM/CHAM/DH/14,505,Embangweni Mission Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-12.13665,33.47681,,,,,,,
Mzimba,MZ,531,,531,Mzambazi Community Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-11.42764,33.45031,,,,,,,
Mzimba,MZ,504,,504,Ekwendeni Mission Hospital,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,,-11.37156,33.88342,,,,,,,
Mzimba,MZ,537,,536,St. Johns Hospital,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,,-11.45161,34.02806,,,,,,,
Mzimba,MZ,537,MCM/CHAM/DH/18,537,St. John of God Mental Hospita,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,,-11.45571,34.01381,,,,,,,
Mzimba,MZ,513,MCM/CHAM/HC44,513,Kalikumbi Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.2038,33.33352,,,,,,,
Mzimba,MZ,518,MCM/CHAM/HC/12,518,Lunjika Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-11.71451,33.6858,,,,,,,
Mzimba,MZ,521,,0,Mabiri Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.24624,33.43,,,,,,,
Mzimba,MZ,546,,546,Mhalaunda Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.05118,33.46656,,,,,,,
Mzimba,MZ,535,MCM/CHAM/HC/10,535,Nkhorongo Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-11.3901,33.98514,,,,,,,
Mzimba,MZ,575,,0,Mary Mount Clinic,Dispensary,Christian Health Association of Malawi (CHAM),Urban,,-11.44262,34.03582,,,,,,,
Mzimba,MZ,576,,0,"WAFC Private Clinic, Banda, Be",Dispensary,Private for profit,Rural,,-12.35458,33.55284,,,,,,,
Mzimba,MZ,552,,0,Dr Musachi's Surgery,Dispensary,Private for profit,Urban,,-11.45771,34.01714,,,,,,,
